Compound Score,Date,Negative Score,Neutral Score,Positive Score,Team,Tweet Ago,Tweet text
0.0,Sat Feb 24 11:45:08 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,"RT @BLUEJAYS_Sports: Ihr habt euch schon immer gefragt, wie der Tagesablauf eines Esport Profis aussieht?
Dann solltet ihr unbedingt das In…"
-0.2023,Fri Feb 23 18:41:25 +0000 2018,0.219,0.63,0.152,@UnicornsOfLove,10,"RT @LoLEsportsStats: .@SamuxLoL with great positioning in team fights, putting out the damage needed for @UnicornsOfLove to beat @Splyce. #…"
0.8474,Fri Feb 23 18:41:22 +0000 2018,0.089,0.545,0.366,@UnicornsOfLove,10,"RT @UOLdad: GG wp to @Splyce. Not very clean but so much progress. And thanks to @KobbeLoL for the tip, a wunder is a bit difficult, but we…"
-0.2462,Fri Feb 23 18:40:28 +0000 2018,0.221,0.779,0.0,@UnicornsOfLove,10,"Another victory, another blurry pic!
GGWP @splyce! https://t.co/N9MNzf7rq2"
0.0,Fri Feb 23 18:40:03 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,RT @sjokz: 🦄🦄
0.0,Fri Feb 23 18:09:49 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,"RT @UOL_Audrey: The name is Fernandez Fort, Samuel Fernandez Fort https://t.co/VHnOiwCtWY"
0.6114,Fri Feb 23 16:55:19 +0000 2018,0.129,0.545,0.326,@UnicornsOfLove,10,"We got our snake charming skills on point, ready to fight Splyce! 🐍

https://t.co/FPnWhCiPE8 https://t.co/oSRrySsyh8"
0.0,Fri Feb 23 14:58:11 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,"Today we will once again be facing Splyce at 18:00 CET

Aiming for 100% less base race and 100% less heart attacks… https://t.co/ZfE5rUN1if"
0.6369,Fri Feb 23 12:29:55 +0000 2018,0.0,0.743,0.257,@UnicornsOfLove,10,"RT @BennyIbLoL: (E-)Sports-Psychology tip No1:

Keep your motivation high and your progress observable by setting #dailypractisegoals. The…"
0.8516,Fri Feb 23 12:27:30 +0000 2018,0.0,0.685,0.315,@UnicornsOfLove,10,"Unicorns!

Go give some love to our editors @RenderGG , they've been doing amazing videos for us throughout the spl… https://t.co/EDcLGjyOEu"
0.7574,Thu Feb 22 19:59:33 +0000 2018,0.0,0.552,0.448,@UnicornsOfLove,10,@232Eilidh @UOL_Audrey @Dieuponey @SheepyLoL @UOLdad @eNgage2focus Happy you like it!♥
0.0,Thu Feb 22 17:47:44 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,Our coach might overcelebrate our most recent victory... https://t.co/j6YDVRNcLG
0.7096,Thu Feb 22 11:54:53 +0000 2018,0.0,0.772,0.228,@UnicornsOfLove,10,RT @CallMeCourt89: Not what I expect to wear in February but I’ll take it. I just wish the warm weather would stick around. https://t.co/dA…
0.5242,Wed Feb 21 16:52:11 +0000 2018,0.0,0.82,0.18,@UnicornsOfLove,10,"Unicorns!

Wanna see Exileh popping off on Zoe again?
Check out our new top plays video from last week!

🎞️ https://t.co/J2BXI9v4UX 🎞️"
0.0,Tue Feb 20 16:44:39 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,"Unicorns!

Check out our new video featuring our Knight of the Toplane @WhiteKnight108

🎞️ Watch the whole video he… https://t.co/aIXYkSJ7ol"
0.7906,Mon Feb 19 17:20:13 +0000 2018,0.0,0.125,0.875,@UnicornsOfLove,10,True love 💕 https://t.co/TprNsTszRO
0.0,Sun Feb 18 19:22:49 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,[🔴] We are live here : https://t.co/Xjh98eW86B - check it out !
0.4019,Sun Feb 18 17:38:37 +0000 2018,0.0,0.876,0.124,@UnicornsOfLove,10,.@ExilehLoL has a special reminder for all the unicorns to tune in for the live session tonight at 8pm with… https://t.co/Z8N017yUuv
0.75,Sun Feb 18 12:25:43 +0000 2018,0.0,0.738,0.262,@UnicornsOfLove,10,"After our win yesterday, be sure to tune in tonight with @SheepyLoL, @ExilehLoL and @CYasarlar !

 You can check ou… https://t.co/vlqGJISLPI"
0.7955,Sat Feb 17 20:14:52 +0000 2018,0.0,0.617,0.383,@UnicornsOfLove,10,"RT @UOL_Totoro: Thank you for supporting me.
I will prepare well for the next game.
감사합니다 ㅎ.ㅎ!!"
0.0,Sat Feb 17 20:13:29 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,RT @LoLEsportsStats: And your Player of the Game was @ExilehLoL breaking 1K DMG/M on Zoe #EULCS https://t.co/6cLnQLjkWD
0.3612,Sat Feb 17 19:16:12 +0000 2018,0.12,0.691,0.189,@UnicornsOfLove,10,RT @LoLEsportsStats: .@UnicornsOfLove  break their 4 game losing streak with a great performance from @SamuxLoL on Ezreal #EULCS https://t.…
0.8748,Sat Feb 17 17:46:29 +0000 2018,0.0,0.577,0.423,@UnicornsOfLove,10,"GGWP @GiantsGamingENG!
Special thanks to @Cronpriinz for being such good sport and helping us with our picture befo… https://t.co/f1oWck6vfk"
0.7835,Sat Feb 17 17:13:58 +0000 2018,0.0,0.744,0.256,@UnicornsOfLove,10,"Thank you unicorns for being so patient with us!
We finally catch our second win against Giants!
Let's go 2-0 next… https://t.co/NlTKj60kc4"
0.5562,Sat Feb 17 17:07:15 +0000 2018,0.0,0.807,0.193,@UnicornsOfLove,10,"RT @lolesports: A strong performance by @ExilehLoL on Zoe:

The @UnicornsOfLove take down @GiantsGaming! #UOLWIN #EULCS https://t.co/uY1EkR…"
0.0,Sat Feb 17 17:07:05 +0000 2018,0.0,1.0,0.0,@UnicornsOfLove,10,"RT @UOLdad: Always believed in my team:@WhiteKnight108, @KoldLoL, @ExilehLoL, @SamuxLoL, @UOL_Totoro and @SheepyLoL. And with @Dieuponey, @…"
0.6696,Sat Feb 17 15:54:36 +0000 2018,0.0,0.781,0.219,@UnicornsOfLove,10,"Gonna do our best to take down the @GiantsGamingENG today, starting with their manager @Cronpriinz ! 💕… https://t.co/7WBzHwC72x"
0.7158,Sat Feb 17 14:21:59 +0000 2018,0.0,0.779,0.221,@UnicornsOfLove,10,"Unicorns!

Tonight at 17:00 CET we will face Giants once again, 
we really feel like we can do better than what we… https://t.co/uFixQB0VWM"
