Compound Score,Date,Negative Score,Neutral Score,Positive Score,Team,Tweet Ago,Tweet text
0.0,Thu Mar 22 20:07:33 +0000 2018,0.0,1.0,0.0,@clgaming,1,@DarshanU  https://t.co/JZl55oHagO
0.0,Thu Mar 22 19:32:31 +0000 2018,0.0,1.0,0.0,@clgaming,1,"I guess League of Legends wasn’t meant to be for @Jigz. 🤣

Check out our latest CLG 20 Questions W/ Jigz! 
➡️… https://t.co/fFNiagkQDJ"
0.0,Thu Mar 22 17:25:44 +0000 2018,0.0,1.0,0.0,@clgaming,1,"Our new Smite Solo Laner is streaming! Get your day started with @fineokay_. 😎

➡️ https://t.co/uIvs29A2p3 https://t.co/eEAQwi5Ysy"
0.3382,Thu Mar 22 02:00:02 +0000 2018,0.0,0.893,0.107,@clgaming,1,"We asked @Jigz to describe each of his teammates with a god. 😄

Get to know Jigz in CLG 20 Questions! ➡️… https://t.co/Tory7FcIXf"
0.8908,Thu Mar 22 01:46:52 +0000 2018,0.0,0.487,0.513,@clgaming,1,@LevoskiTB @Splyce Thank you so much for the warm welcome! Loving the Smite community already. 😊
0.7876,Thu Mar 22 01:39:45 +0000 2018,0.0,0.751,0.249,@clgaming,1,RT @SnoopyMans: GG's to Splyce. Was a little rocky in game 1 but we pulled through and played our game. Good start to the split.
0.8883,Thu Mar 22 01:31:25 +0000 2018,0.0,0.676,0.324,@clgaming,1,RT @Hurriwind: GGs to @Splyce. Really fun games and really proud of the team. Still lots to learn and improve on but happy we are off to a…
0.6892,Thu Mar 22 01:31:16 +0000 2018,0.0,0.802,0.198,@clgaming,1,Awesome start for our squad! 🔥 Our Smite team take a 2-1 victory over @Splyce! We will be back Friday vs… https://t.co/dxKmRJk3ho
0.658,Thu Mar 22 00:53:57 +0000 2018,0.0,0.82,0.18,@clgaming,1,RT @SmitePro: That's Game 2! @CLGaming takes the win to tie up the set! Who is taking Game 3? https://t.co/m7ASBG37Ye https://t.co/vZzQ0Km8…
0.0,Thu Mar 22 00:03:12 +0000 2018,0.0,1.0,0.0,@clgaming,1,RT @SmitePro: It's neck-and-neck as the bloodbath begins during the Phoenix siege! Tune in to see whether @Splyce or @CLGaming takes the fi…
0.0,Thu Mar 22 00:01:47 +0000 2018,0.0,1.0,0.0,@clgaming,1,"Who wants some more @Biofrostlol in their life? 🤔

➡️ https://t.co/3sGS3mGql6 https://t.co/jqtljNSQQn"
0.0,Wed Mar 21 23:49:18 +0000 2018,0.0,1.0,0.0,@clgaming,1,@VladdGG  https://t.co/5YnEadyUbE
0.4019,Wed Mar 21 23:17:01 +0000 2018,0.0,0.891,0.109,@clgaming,1,It’s time for our Smite season opener. 🙌 We are up next against @Splyce on stream. Get in here and support the squa… https://t.co/g4tVFdrs0a
0.0,Wed Mar 21 23:08:11 +0000 2018,0.0,1.0,0.0,@clgaming,1,@Biofrostlol  https://t.co/oD1VxUq9PF
0.0,Wed Mar 21 22:40:19 +0000 2018,0.0,1.0,0.0,@clgaming,1,@Dappur Just a 1s player? 🤔😉
0.0,Wed Mar 21 22:25:00 +0000 2018,0.0,1.0,0.0,@clgaming,1,"#WisdomWednesday with @gsmVoiD! Go learn some smash! 👍

➡️ https://t.co/01s4xDQx7v https://t.co/9Ec0YNGuZL"
0.4215,Wed Mar 21 21:01:29 +0000 2018,0.0,0.887,0.113,@clgaming,1,"With our Smite team having their pro debut today, we sat down with @fineokay_ and asked him what he hopes to achiev… https://t.co/s5SvXyAouE"
0.0,Wed Mar 21 19:38:17 +0000 2018,0.0,1.0,0.0,@clgaming,1,"RT @gsmVoiD: #2012vs2018
Did I really grow up? 🤔 https://t.co/uhhkk7ZGWf"
0.5719,Wed Mar 21 19:38:09 +0000 2018,0.0,0.824,0.176,@clgaming,1,"RT @fineokay_: Make sure to tune into the NA SPL today over at https://t.co/VMM7qbBklu

We play Splyce up second, watch what the Season 5 m…"
0.0,Wed Mar 21 18:09:52 +0000 2018,0.0,1.0,0.0,@clgaming,1,"RT @CLGRed: #CLGFAM come tune into @EmyyCSGO's stream for some Fortnite action. 🔥

📺 https://t.co/4pix2OFNYk https://t.co/jzzNr93Ex0"
0.0,Wed Mar 21 18:03:19 +0000 2018,0.0,1.0,0.0,@clgaming,1,Our Smite team will have their first #SPL match today vs @Splyce. The match is set for 3:45 PM PST. Let’s start the… https://t.co/fd8m27WPWJ
0.0,Wed Mar 21 17:52:45 +0000 2018,0.0,1.0,0.0,@clgaming,1,"Get your day started with some Rainbow Six! @TheRealLaXInG is currently streaming. 🙏

➡️  https://t.co/ULDuLdDatf https://t.co/yfCzFJd8Av"
0.4939,Wed Mar 21 01:20:43 +0000 2018,0.0,0.862,0.138,@clgaming,1,"Farewell to our friend and head coach of CLG Academy, @CLGRico. We have mutually decided to part ways. 

Read ➡️… https://t.co/w8MHoISYME"
